CV_ID,years_experience,highest_degree,skills,Job_Role,has_portfolio,raw_text,label
cv0001,9,Bachelors,"NLP, GPT",Customer Support,FALSE,"Sales professional with strong communication skills, looking to transition to analytics.",0
cv0002,2,Masters,"PyTorch, CI/CD, Power BI, Data Visualization, AWS",Administrative Assistant,FALSE,"Sales professional with strong communication skills, looking to transition to analytics.",0
cv0003,2,Bachelors,"AWS, Flask, Machine Learning, Model Deployment, Pandas, Power BI, Python, SQL, SQLAlchemy, Seaborn, Signal Processing, Speech Recognition, Statistics",Computer Vision Engineer,TRUE,Research scientist with strong statistical background and experience publishing reproducible research.,1
cv0004,9,Bachelors,"Hadoop, Feature Engineering, Docker Compose, OpenCV",Data Entry Operator,TRUE,Customer support representative with some Excel skills and interest in analytics.,0
cv0005,10,Bachelors,"Speech Recognition, Tableau, Azure, TensorFlow",Customer Support,FALSE,Content creator interested in data science but lacks hands-on ML experience.,0
cv0006,5,Masters,"NumPy, Statistics",Data Entry Operator,TRUE,"Sales professional with strong communication skills, looking to transition to analytics.",0
cv0007,9,Bachelors,"GCP, Hadoop, Reinforcement Learning",Receptionist,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv0008,5,Masters,"AWS, Clustering, Machine Learning, NumPy, Pandas, Power BI, REST APIs, SQL, SQLAlchemy, Statistics",AI Researcher,TRUE,Applied ML engineer experienced in productionizing deep learning models on cloud platforms.,1
cv0009,3,Masters,"Docker, PyTorch Lightning, Reinforcement Learning, NumPy",Telecaller,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv0010,6,Bachelors,"Computer Vision, Hadoop, Feature Engineering, AWS",Sales Executive,TRUE,Business analyst with reporting experience but limited machine learning exposure.,0
cv0011,6,Bachelors,"Flask, Hadoop, Linux, Machine Learning, NumPy, PyTorch, Python, Regression, SQL, Statistics, Streamlit, Tableau, XGBoost",Research Scientist,TRUE,"Data scientist proficient in end-to-end ML pipelines, experimentation, and stakeholder communication.",1
cv0012,2,Masters,"OpenCV, Deep Learning, EDA, GCP",Office Assistant,TRUE,"Marketing intern with experience in social media and campaign analytics, limited coding.",0
cv0013,10,Masters,"GCP, GPT, Kubernetes, Model Deployment, NumPy, Pandas, Python, Reinforcement Learning, Seaborn, TensorFlow, XGBoost",Senior Data Scientist,TRUE,"NLP specialist skilled in text preprocessing, fine-tuning transformer models, and evaluation.",1
cv0014,0,Bachelors,"Matplotlib, Streamlit, PyTorch Lightning, EDA",Junior Intern,TRUE,Customer support representative with some Excel skills and interest in analytics.,0
cv0015,7,Masters,"Data Engineering, Clustering, Tableau",Data Entry Operator,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv0016,0,Masters,"SQL, Linux, Docker, Clustering, Kubernetes",Receptionist,FALSE,"Marketing intern with experience in social media and campaign analytics, limited coding.",0
cv0017,2,Bachelors,"Docker Compose, Python, TensorFlow, Data Visualization",Customer Support,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv0018,1,Masters,"Computer Vision, Data Engineering, Docker, FastAPI, Flask, GPT, Kubernetes, Linux, Machine Learning, NumPy, OpenCV, Python, Reinforcement Learning, Seaborn",Computer Vision Engineer,TRUE,Applied ML engineer experienced in productionizing deep learning models on cloud platforms.,1
cv0019,11,Masters,"Clustering, Computer Vision, FastAPI, HuggingFace, Linux, NumPy, Pandas, PyTorch, Python, Regression, Scikit-learn, Speech Recognition, TensorFlow, Time Series",AI Researcher,FALSE,"Computer vision engineer with experience in object detection, segmentation, and optimization.",1
cv0020,5,Masters,"CI/CD, Data Engineering, Docker Compose, FastAPI, Hadoop, Matplotlib, Pandas, PyTorch Lightning, Python, Reinforcement Learning, Statistics, Time Series",Senior Data Scientist,TRUE,"Engineer skilled in time-series forecasting, anomaly detection, and feature engineering.",1
cv0021,5,Masters,"Data Visualization, CI/CD, Streamlit, Matplotlib, OpenCV",Administrative Assistant,FALSE,"Sales professional with strong communication skills, looking to transition to analytics.",0
cv0022,10,Bachelors,"JSON, Linux, GPT, AWS, Classification",Junior Intern,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv0023,8,Masters,"Docker Compose, Feature Engineering, Flask, Machine Learning, NumPy, Pandas, PyTorch Lightning, Python, REST APIs, Scikit-learn, Statistics, Streamlit",Research Scientist,TRUE,"ML engineer experienced in MLOps, Docker, Kubernetes, and continuous deployment of models.",1
cv0024,10,PhD,"Azure, FastAPI, Feature Engineering, GPT, Model Deployment, NumPy, Pandas, Python, SQLAlchemy, Statistics, Transformer Models",Data Analyst,TRUE,"Researcher focused on NLP and transformer-based models, with publications in top conferences.",1
cv0025,14,Masters,"AWS, BERT, GCP, GPT, Machine Learning, NumPy, Reinforcement Learning, Statistics",Research Scientist,FALSE,Research scientist with strong statistical background and experience publishing reproducible research.,1
cv0026,10,Masters,"CI/CD, EDA, FastAPI, Feature Engineering, GPT, Machine Learning, NLP, NumPy, PyTorch, Python, REST APIs, Signal Processing, Streamlit",Applied ML Engineer,TRUE,"Engineer skilled in time-series forecasting, anomaly detection, and feature engineering.",1
cv0027,5,PhD,"Clustering, HuggingFace, Machine Learning, Python, Seaborn, Spark, Speech Recognition, Statistics",ML Engineer,TRUE,"Computer vision engineer with experience in object detection, segmentation, and optimization.",1
cv0028,4,Masters,"GPT, Tableau, Kubernetes, Docker Compose",Sales Executive,FALSE,Customer support representative with some Excel skills and interest in analytics.,0
cv0029,6,Bachelors,"AWS, Docker Compose, EDA, FastAPI, HuggingFace, JSON, LightGBM, NumPy, Pandas, PyTorch Lightning, Python, Scikit-learn, Seaborn, Streamlit",Data Scientist,FALSE,"NLP specialist skilled in text preprocessing, fine-tuning transformer models, and evaluation.",1
cv0030,5,Masters,"Power BI, Signal Processing, HuggingFace, Linux",Receptionist,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv0031,6,Bachelors,"Reinforcement Learning, Feature Engineering, Hadoop, Spark, JSON, SQL",Administrative Assistant,FALSE,Office assistant with administrative experience and basic computer skills.,0
cv0032,1,Masters,"Azure, EDA, HuggingFace, LightGBM",Customer Support,TRUE,Recent graduate with coursework in statistics and interest in learning Python.,0
